"","x","y","day30","day60","day90","day180"
"1","100","100repeat",6.5993980161716e-06,2.23118854294491e-05,6.0035043197959e-05,0.000182708461547221
"2","100","250",0.0141926867178466,0.0148901814351983,0.0163162679483825,0.0149566892481116
"3","100","500",0.0422064737572793,0.0447419259100391,0.0488417240921643,0.04600146231175
"4","100","750",0.0645672980779974,0.0687845418966674,0.0748026742694623,0.0701293344592434
"5","100","1000",0.0825838283651465,0.0883610547063557,0.095846237064401,0.0906713543643554
"6","100repeat","250",0.0143102247375025,0.014737556800428,0.0159715857737864,0.0145619862595383
"7","100repeat","500",0.0423969211663463,0.0444867903375553,0.0482771833849086,0.0453707766186345
"8","100repeat","750",0.0647929632882909,0.0684740154393151,0.0741435225504847,0.0694176558163437
"9","100repeat","1000",0.0828295750595386,0.0880152359315431,0.0951299175388006,0.0899214843285993
"10","250","500",0.00795814350690227,0.00858434791800367,0.00938384564299999,0.00922215572924712
"11","250","750",0.0197316222165069,0.0213985442700055,0.0232673891685966,0.0222840158670219
"12","250","1000",0.0309739558607686,0.0337599432564916,0.0366088702866487,0.0354117168771316
"13","500","750",0.00271246815675108,0.00298825120264246,0.00323498351773177,0.00302032025664323
"14","500","1000",0.0078399108566416,0.00867793790833116,0.00936895330576804,0.00900225514923891
"15","750","1000",0.00134821826046161,0.00150671666894198,0.0016316911581894,0.00167162393243925
